Rank,Code,Province/Territory,2016 Census,2011 Census,Change
1,NV,Nunavut,35944,31906,+12.66%
2,AB,Alberta,4067175,3645257,+11.57%
3,SK,Saskatchewan,1098352,1033381,+6.29%
4,YT,Yukon,35874,33897,+5.83%
5,MB,Manitoba,1278365,1208268,+5.80%
6,BC,British Columbia,4648055,4400057,+5.64%
7,ON,Ontario,13448494,12851821,+4.64%
8,QC,Quebec,8164361,7903001,+3.31%
9,PE,Prince Edward Island,142907,140204,+1.93%
10,NL,Newfoundland and Labrador,519716,514536,+1.01%
11,NT,Northwest Territories,41786,41462,+0.78%
12,NS,Nova Scotia,923598,921727,+0.20%
13,NB,New Brunswick,747101,751171,−0.54%
Total,Total,Canada,35151728,33476688,+5.00%
