country,active_male,active_female,total,under_19,over_35
Argentina,190,60,250,25,25
Australia,3350,1650,5000,250,400
Austria,1370,761,2272,879,258
Belgium,766,242,1008,203,72
Brazil,160,90,250,70,50
Canada,20426,13617,34043,2500,3500
People`s Republic of China,210,80,290,30,15
Chinese Taipei,500,200,700,300,50
Colombia,861,458,1438,203,73
Czech Republic,260,177,437,140,13
Denmark,285,159,444,78,45
Dominican Republic,84,80,164,25,5
Estonia,33,26,59,0,4
Finland,357,212,569,79,98
FPA Freestyle,149,43,192,12,180
France,2014,682,2696,413,888
Germany,2696,936,3632,488,847
Great Britain,2420,1201,3621,863,110
Hong Kong China,80,30,110,20,50
Hungary,142,92,234,63,25
Iceland,273,37,310,160,44
India,230,140,370,235,25
Ireland,242,120,362,80,10
Israel,171,36,207,109,12
Italy,474,177,654,146,20
Japan,2450,1171,3621,198,552
Latvia,250,154,404,110,3
Mexico,484,265,749,67,42
Netherlands,826,326,1152,139,198
New Zealand,344,233,577,97,78
Norway,1110,242,1352,193,0
Panama,160,90,250,120,30
PDGA Disc Golf,19062,1525,20587,1075,10076
Phillipines,596,446,1042,145,83
Poland,108,84,192,31,5
Portugal,80,20,100,0,30
Russian Federation,310,99,409,39,19
Singapore,400,150,800,200,10
Slovakia,150,55,205,33,18
Slovenia,60,20,80,15,5
South Africa,252,107,359,30,50
South Korea,117,61,178,1,14
Spain,390,231,621,17,129
Sweden,808,146,954,190,312
Switzerland,600,250,850,100,240
Turkey,58,39,97,24,5
Uganda,182,42,228,21,6
Ukraine,100,40,140,20,5
USA Ultimate,33008,14129,47137,12345,3454
USGPA Guts,120,0,120,25,50
Venezuela,242,69,311,33,27
Subtotal,99820,41240,141577,22614,22235
